,brand,model,fuel,transtype,owner,manufacture,kms,price
78,Maruti,Maruti Ciaz 1.3,Diesel,Manual,1,2018,60000,750000
79,Honda,Honda Civic 1.8,Petrol,Automatic,2,2007,54000,200000
80,Hyundai,Hyundai i10 Sportz,Petrol,Manual,2,2010,63000,248000
81,Skoda,Skoda Rapid 1.5,Diesel,Manual,2,2014,120000,450000
82,Hyundai,Hyundai Getz GLS,Petrol,Manual,3,2005,120000,80000
83,Nissan,Nissan Terrano XL,Petrol,Manual,2,2014,76000,650000
84,Hyundai,Hyundai Grand i10,Diesel,Manual,1,2015,80000,450000
85,Hyundai,Hyundai Elite i20,Diesel,Manual,1,2019,25000,650000
86,Honda,Honda Amaze S,Petrol,Manual,1,2016,11958,495000
87,Honda,Honda Brio S,Petrol,Manual,1,2015,20000,371000
88,Hyundai,Hyundai Creta 1.6,Petrol,Manual,1,2017,9000,1025000
89,Mercedes-Benz,Mercedes-Benz S-Class S,Diesel,Automatic,1,2017,6500,8150000
90,Mahindra,Mahindra XUV500 W8,Diesel,Manual,1,2015,70000,750000
91,Renault,Renault Duster 85PS,Diesel,Manual,1,2013,120000,600000
92,Hyundai,Hyundai Santro Xing,Petrol,Manual,2,2007,58000,80000
93,Mahindra,Mahindra Bolero 2011-2019,Diesel,Manual,1,2013,62200,325000
94,Audi,Audi A6 2.0,Diesel,Automatic,2,2014,34000,1470000
95,Fiat,Fiat Avventura MULTIJET,Diesel,Manual,2,2015,53000,350000
96,Audi,Audi A8 4.2,Diesel,Automatic,1,2013,49000,2800000
97,Datsun,Datsun RediGO 1.0,Petrol,Manual,2,2017,15000,210000
98,Volkswagen,Volkswagen Jetta 1.4,Petrol,Manual,1,2013,50000,450000
99,Audi,Audi A4 2.0,Diesel,Automatic,1,2013,53000,1150000
100,Honda,Honda Civic 1.8,Petrol,Automatic,1,2009,63500,210000
101,Mercedes-Benz,Mercedes-Benz E-Class Exclusive,Petrol,Automatic,1,2018,9800,4500000
102,BMW,BMW X1 sDrive,Diesel,Automatic,1,2017,13000,2750000
103,Volvo,Volvo V40 D3,Diesel,Automatic,1,2018,21000,1975000
104,Maruti,Maruti SX4 Zxi,Petrol,Manual,1,2008,29173,175000
105,BMW,BMW 7 Series,Diesel,Automatic,1,2012,48000,2500000
106,Mahindra,Mahindra Bolero Power,Diesel,Manual,1,2017,120000,628000
107,Hyundai,Hyundai Sonata CRDi,Diesel,Manual,1,2010,100000,600000
108,Nissan,Nissan Micra Active,Petrol,Manual,1,2017,30000,399000
109,Mahindra,Mahindra Xylo D4,Diesel,Manual,1,2018,87000,750000
110,Hyundai,Hyundai Elite i20,Petrol,Manual,1,2019,15000,750000
111,Renault,Renault KWID RXT,Petrol,Manual,1,2017,16000,315000
112,Mahindra,Mahindra Xylo E4,Diesel,Manual,1,2012,60000,600000
113,Maruti,Maruti Wagon R,Petrol,Manual,4,2010,60000,100000
114,Maruti,Maruti SX4 ZXI,Petrol,Manual,3,2011,110000,250000
115,Renault,Renault KWID RXT,Petrol,Manual,1,2017,25000,350000
116,Hyundai,Hyundai Creta 1.4,Diesel,Manual,1,2016,60000,780000
117,Maruti,Maruti Swift Dzire,Diesel,Manual,2,2014,79350,434000
118,Hyundai,Hyundai Verna 1.6,Petrol,Automatic,1,2016,80000,690000
119,Mahindra,Mahindra Scorpio LX,Diesel,Manual,2,2014,90000,555000
120,Maruti,Maruti SX4 Vxi,Petrol,Manual,2,2007,90000,120000
121,Maruti,Maruti Ertiga VDI,Diesel,Manual,2,2014,120000,500000
122,Chevrolet,Chevrolet Beat Diesel,Diesel,Manual,2,2013,60000,165000
123,Maruti,Maruti Zen LX,Petrol,Manual,1,2004,50000,95000
124,Maruti,Maruti Baleno Delta,Petrol,Manual,1,2018,20000,550000
125,Maruti,Maruti Swift Vdi,Diesel,Manual,4,2007,110000,100000
126,Tata,Tata Nano Lx,Petrol,Manual,2,2012,50000,100000
127,Toyota,Toyota Innova 2.5,Diesel,Manual,1,2012,100000,500000
128,Maruti,Maruti Ertiga SHVS,Diesel,Manual,2,2016,70000,800000
129,Hyundai,Hyundai Creta 1.6,Diesel,Manual,2,2016,70000,840000
130,Honda,Honda Amaze S,Petrol,Manual,1,2016,50000,490000
131,Tata,Tata Indica Vista,Diesel,Manual,2,2010,81000,125000
132,Chevrolet,Chevrolet Tavera Neo,Diesel,Manual,3,2012,120000,400000
133,Chevrolet,Chevrolet Cruze LTZ,Diesel,Manual,1,2015,3600,1000000
134,Ford,Ford Figo Aspire,Petrol,Manual,1,2015,14272,530000
135,Ford,Ford EcoSport 1.5,Diesel,Manual,1,2017,49213,840000
136,Hyundai,Hyundai i10 Sportz,Petrol,Manual,1,2015,40000,229999
137,Maruti,Maruti 800 Std,Petrol,Manual,4,1998,40000,40000
138,Chevrolet,Chevrolet Spark 1.0,Petrol,Manual,1,2012,80000,130000
139,Hyundai,Hyundai EON Era,Petrol,Manual,1,2015,70000,200000
140,Tata,Tata Indica Vista,Diesel,Manual,1,2011,70000,120000
141,Hyundai,Hyundai Santro LP,Petrol,Manual,1,2003,57000,75000
142,Tata,Tata Bolt Quadrajet,Diesel,Manual,1,2016,120000,250000
143,Maruti,Maruti 800 AC,Petrol,Manual,1,2005,30000,100000
144,Hyundai,Hyundai EON Era,Petrol,Manual,2,2013,3240,280000
145,Hyundai,Hyundai i20 Magna,Petrol,Manual,1,2015,5000,540000
146,Hyundai,Hyundai i20 1.2,Petrol,Manual,1,2018,10000,700000
147,Maruti,Maruti Ciaz VDi,Diesel,Manual,1,2015,100000,525000
148,Hyundai,Hyundai i20 Asta,Diesel,Manual,1,2016,80000,430000
149,Hyundai,Hyundai Santro LE,Petrol,Manual,1,2002,70000,65000
150,Maruti,Maruti Vitara Brezza,Diesel,Manual,1,2018,35000,800000
151,Hyundai,Hyundai Santro Xing,Petrol,Manual,2,2007,114000,75000
152,Hyundai,Hyundai Getz 1.3,Petrol,Manual,1,2008,53772,210000
153,Mahindra,Mahindra Quanto C8,Diesel,Manual,2,2012,140000,195000
154,Chevrolet,Chevrolet Tavera Neo,Diesel,Manual,1,2015,120000,400000
155,Hyundai,Hyundai EON Magna,Petrol,Manual,1,2012,60000,170000
156,Renault,Renault KWID RXT,Petrol,Manual,1,2016,25000,225000
157,Maruti,Maruti Wagon R,LPG,Manual,1,2014,90000,210000
158,Maruti,Maruti Wagon R,Petrol,Manual,1,2020,120000,240000
159,Chevrolet,Chevrolet Enjoy 1.3,Diesel,Manual,1,2015,175000,300000
160,Chevrolet,Chevrolet Spark 1.0,Petrol,Manual,3,2011,100000,99000
161,Honda,Honda City i,Petrol,Manual,1,2014,36000,620000
162,Honda,Honda Amaze VX,Diesel,Manual,1,2013,30000,500000
163,Jaguar,Jaguar XJ 5.0,Petrol,Automatic,2,2010,40000,2550000
164,Honda,Honda Brio E,Petrol,Manual,2,2013,70000,260000
165,Maruti,Maruti Swift VVT,Petrol,Manual,1,2017,60000,550000
166,Tata,Tata Indigo CR4,Diesel,Manual,1,2011,155500,150000
167,Hyundai,Hyundai i10 Asta,Petrol,Automatic,2,2011,50000,350000
168,Chevrolet,Chevrolet Beat LT,Petrol,Manual,1,2016,40000,320000
169,Maruti,Maruti Swift VDI,Diesel,Manual,3,2015,100000,400000
170,Maruti,Maruti Alto LXi,Petrol,Manual,3,2012,80000,175000
171,Chevrolet,Chevrolet Beat LT,Petrol,Manual,2,2011,90000,120000
172,Renault,Renault Duster 110PS,Diesel,Manual,2,2013,90000,320000
173,Hyundai,Hyundai Santro Xing,Petrol,Manual,3,2006,110000,70000
174,Maruti,Maruti Swift Dzire,Petrol,Manual,1,2019,15000,810000
175,Maruti,Maruti 800 AC,Petrol,Manual,2,2007,100000,95000
176,Maruti,Maruti Alto K10,CNG,Manual,1,2020,40000,282000
177,Maruti,Maruti 800 Std,Petrol,Manual,2,2004,60000,80000
178,Tata,Tata Nano LX,Petrol,Manual,1,2013,25000,72000
179,Hyundai,Hyundai i20 Magna,Petrol,Manual,1,2016,25000,600000
180,Skoda,Skoda Rapid 1.6,Petrol,Manual,1,2015,23000,640000
181,Maruti,Maruti Alto K10,Petrol,Manual,1,2018,22155,380000
182,Maruti,Maruti Ciaz 1.4,Petrol,Manual,1,2018,70000,650000
183,Maruti,Maruti Alto LX,Petrol,Manual,2,2009,60000,150000
184,Hyundai,Hyundai i20 Asta,Petrol,Manual,2,2009,110000,280000
185,Tata,Tata Nexon 1.2,Petrol,Manual,1,2018,30000,430000
186,Mahindra,Mahindra Bolero Power,Diesel,Manual,1,2019,15000,800000
187,Maruti,Maruti Zen D,Diesel,Manual,2,2003,100000,75000
188,Volkswagen,Volkswagen Vento Celeste,Diesel,Automatic,1,2016,70000,650000
189,Maruti,Maruti Eeco 7,Petrol,Manual,1,2017,24000,390000
190,Honda,Honda City 1.5,Petrol,Manual,2,2005,120000,100000
191,Mercedes-Benz,Mercedes-Benz New C-Class,Diesel,Automatic,1,2013,35000,1500000
192,Maruti,Maruti SX4 Zxi,Petrol,Manual,1,2007,78380,175000
193,Renault,Renault Duster 110PS,Diesel,Manual,2,2012,110000,434999
194,Ford,Ford Figo Diesel,Diesel,Manual,3,2010,90000,170000
195,Ford,Ford Figo Diesel,Diesel,Manual,3,2011,90000,190000
196,Maruti,Maruti Swift Dzire,Diesel,Manual,3,2009,150000,250000
197,Mahindra,Mahindra Xylo E4,Diesel,Manual,3,2009,230000,229999
198,Maruti,Maruti Esteem Vxi,Petrol,Manual,3,2006,70000,140000
199,Maruti,Maruti Swift VDI,Diesel,Manual,1,2017,80362,600000
200,Hyundai,Hyundai i20 1.2,Petrol,Manual,3,2012,110000,280000
201,Chevrolet,Chevrolet Beat Diesel,Diesel,Manual,1,2012,60000,150000
202,Chevrolet,Chevrolet Cruze LTZ,Diesel,Automatic,1,2015,50000,650000
203,Nissan,Nissan Micra XL,Petrol,Manual,2,2014,40000,210000
204,BMW,BMW 5 Series,Diesel,Automatic,1,2017,40000,2900000
205,Chevrolet,Chevrolet Enjoy 1.3,Diesel,Manual,1,2013,20000,425000
206,Hyundai,Hyundai EON Era,Petrol,Manual,1,2014,55000,265000
207,Fiat,Fiat Linea T,Petrol,Manual,1,2018,1136,890000
208,Renault,Renault Scala RxL,Petrol,Manual,1,2013,55000,365000
209,Ford,Ford Figo Petrol,Petrol,Manual,1,2014,43000,350000
210,Maruti,Maruti Ciaz ZDi,Diesel,Manual,1,2016,60000,685000
211,Skoda,Skoda Rapid 1.5,Diesel,Manual,1,2018,2650,940000
212,Mahindra,Mahindra XUV500 W6,Diesel,Manual,1,2017,40000,1000000
213,Mahindra,Mahindra XUV300 W8,Petrol,Manual,1,2019,15000,1150000
214,Maruti,Maruti Ertiga SHVS,Diesel,Manual,2,2016,115962,450000
215,Nissan,Nissan Terrano XE,Diesel,Manual,1,2015,65000,590000
216,Maruti,Maruti S-Cross Facelift,Diesel,Manual,1,2017,40000,800000
217,Hyundai,Hyundai i20 Magna,Diesel,Manual,1,2012,58000,385000
218,Mercedes-Benz,Mercedes-Benz New C-Class,Diesel,Automatic,1,2013,15000,2000000
219,Hyundai,Hyundai EON Era,Petrol,Manual,1,2012,54000,235000
220,Volkswagen,Volkswagen Ameo 1.5,Diesel,Manual,1,2017,56000,640000
221,Maruti,Maruti Alto LX,Petrol,Manual,3,2006,120000,52000
222,Maruti,Maruti Omni LPG,LPG,Manual,2,2009,90000,80000
223,Maruti,Maruti Alto LX,Petrol,Manual,2,2012,70000,140000
224,Hyundai,Hyundai Verna i,Petrol,Manual,2,2008,90000,120000
225,Mahindra,Mahindra Renault Logan,Diesel,Manual,1,2008,213000,89999
226,Chevrolet,Chevrolet Optra Magnum,Diesel,Manual,1,2012,120000,180000
227,Mahindra,Mahindra Scorpio S11,Diesel,Manual,1,2017,20000,1500000
228,Hyundai,Hyundai i20 Active,Petrol,Manual,1,2017,10000,700000
229,Maruti,Maruti SX4 Celebration,Diesel,Manual,2,2012,80000,285000
230,Hyundai,Hyundai Grand i10,Petrol,Manual,1,2015,90000,390000
231,Maruti,Maruti Alto LXi,Petrol,Manual,1,2008,80000,125000
232,Maruti,Maruti SX4 Zxi,Petrol,Manual,2,2008,60000,225000
233,Hyundai,Hyundai i10 Era,Petrol,Manual,2,2011,139000,175000
234,Toyota,Toyota Innova 2.5,Diesel,Manual,2,2011,160000,1075000
235,Honda,Honda Mobilio V,Diesel,Manual,1,2014,150000,300000
236,Toyota,Toyota Innova 2.5,Diesel,Manual,4,2010,163000,700000
237,Tata,Tata Indica V2,Diesel,Manual,1,2009,120000,90000
238,Tata,Tata Indica Vista,Diesel,Manual,2,2011,120000,120000
239,Chevrolet,Chevrolet Beat Diesel,Diesel,Manual,2,2012,100000,220000
240,Tata,Tata Zest Quadrajet,Diesel,Manual,1,2015,140000,300000
241,Skoda,Skoda Fabia 1.2L,Diesel,Manual,2,2010,87000,180000
242,Maruti,Maruti 800 Std,Petrol,Manual,1,2013,70000,170000
243,Ford,Ford Figo Petrol,Petrol,Manual,2,2015,50000,300000
244,Toyota,Toyota Innova 2.5,Diesel,Manual,1,2014,70000,1050000
245,Honda,Honda Mobilio V,Diesel,Manual,1,2014,150000,300000
246,Hyundai,Hyundai Grand i10,Diesel,Manual,1,2018,25000,465000
247,Chevrolet,Chevrolet Beat Diesel,Diesel,Manual,2,2011,80000,130000
248,Datsun,Datsun GO Plus,Petrol,Manual,1,2018,10000,434999
249,Hyundai,Hyundai Grand i10,Petrol,Manual,1,2018,32000,500000
250,Maruti,Maruti Omni MPI,Petrol,Manual,1,2018,10000,200000
251,Maruti,Maruti Baleno Alpha,Petrol,Manual,1,2017,52000,625000
252,Ford,Ford Fiesta Classic,Diesel,Manual,3,2006,120000,110000
253,Hyundai,Hyundai Elite i20,Petrol,Manual,1,2019,11240,800000
254,Hyundai,Hyundai Grand i10,Diesel,Manual,1,2017,66000,490000
255,Maruti,Maruti Ertiga SHVS,Diesel,Manual,1,2017,64000,880000
256,Hyundai,Hyundai Santro Xing,Petrol,Manual,1,2013,49000,290000
257,Tata,Tata Sumo GX,Diesel,Manual,2,2006,100000,115999
258,Renault,Renault KWID RXT,Petrol,Manual,1,2018,26500,360000
259,Maruti,Maruti 800 AC,Petrol,Manual,2,2002,100000,65000
260,Maruti,Maruti Vitara Brezza,Diesel,Manual,1,2017,72000,685000
261,Honda,Honda Jazz S,Petrol,Manual,1,2009,50000,300000
262,Hyundai,Hyundai i20 1.4,Diesel,Manual,1,2017,44000,680000
263,Maruti,Maruti Ertiga SHVS,Diesel,Manual,2,2017,60000,1000000
264,Tata,Tata Sumo SE,Diesel,Manual,1,2002,120000,100000
265,Mahindra,Mahindra Xylo E4,Diesel,Manual,1,2010,130000,160000
266,Maruti,Maruti Swift ZDi,Diesel,Manual,1,2017,70000,450000
267,Maruti,Maruti Ertiga VXI,Petrol,Manual,1,2014,20000,600000
268,Hyundai,Hyundai i20 1.4,Diesel,Manual,2,2009,60000,180000
269,Maruti,Maruti Alto LXi,Petrol,Manual,1,2007,195000,100000
270,Maruti,Maruti Alto LXi,Petrol,Manual,2,2010,90000,120000
271,Hyundai,Hyundai Getz GL,Petrol,Manual,3,2006,80000,130000
272,Maruti,Maruti Wagon R,Petrol,Manual,1,2011,155000,160000
273,Mahindra,Mahindra Bolero Power,Diesel,Manual,1,2019,35000,860000
274,Hyundai,Hyundai i20 1.2,Petrol,Manual,2,2018,20000,650000
275,Maruti,Maruti Wagon R,Petrol,Manual,2,2010,80000,100000
276,Maruti,Maruti Alto 800,Petrol,Manual,1,2017,20000,282000
277,Hyundai,Hyundai i20 Asta,Petrol,Manual,1,2009,50000,300000
278,Hyundai,Hyundai i20 Asta,Petrol,Manual,2,2010,110000,270000
279,Hyundai,Hyundai Verna 1.6,Diesel,Manual,1,2013,29000,550000
280,Mahindra,Mahindra Xylo D2,Diesel,Manual,1,2013,120000,450000
281,Mahindra,Mahindra Bolero SLX,Diesel,Manual,2,2011,70000,430000
282,Maruti,Maruti Ertiga VXI,Petrol,Manual,1,2013,40000,350000
283,Honda,Honda Brio 1.2,Petrol,Manual,1,2017,20000,350000
284,Toyota,Toyota Etios Liva,Petrol,Manual,2,2013,50000,229999
285,Maruti,Maruti Alto 800,Petrol,Manual,1,2013,50000,110000
286,Maruti,Maruti Swift Dzire,Petrol,Manual,2,2012,49000,395000
287,Mahindra,Mahindra Scorpio VLS,Diesel,Automatic,2,2011,70000,650000
288,Mahindra,Mahindra Bolero SLX,Diesel,Manual,2,2011,90000,350000
289,Mahindra,Mahindra XUV500 W11,Diesel,Manual,1,2020,25000,1400000
290,Tata,Tata Tiago 1.2,Petrol,Manual,1,2018,4000,360000
291,Mahindra,Mahindra Marazzo M8,Diesel,Manual,1,2018,10000,1300000
292,Renault,Renault Duster 110PS,Diesel,Manual,1,2015,15000,800000
293,Hyundai,Hyundai EON Magna,Petrol,Manual,1,2018,30000,229999
294,Maruti,Maruti Wagon R,Petrol,Manual,1,2014,41000,315000
295,Chevrolet,Chevrolet Spark 1.0,Petrol,Manual,1,2012,28000,125000
296,Maruti,Maruti Baleno Alpha,Petrol,Manual,1,2019,16000,700000
297,Hyundai,Hyundai EON 1.0,Petrol,Manual,1,2015,70000,160000
298,Ford,Ford Figo Aspire,Petrol,Manual,1,2017,10832,530000
299,Ford,Ford Figo Aspire,Diesel,Manual,1,2018,14681,624000
300,Hyundai,Hyundai i10 Era,Petrol,Manual,1,2009,50000,250000
301,Mahindra,Mahindra Bolero SLX,Diesel,Manual,1,2016,51000,585000
302,Hyundai,Hyundai Verna 1.4,Petrol,Manual,1,2015,25000,500000
303,Chevrolet,Chevrolet Sail 1.2,Petrol,Manual,1,2014,30000,350000
304,Honda,Honda City i-DTEC,Diesel,Manual,1,2014,80000,495000
305,Hyundai,Hyundai Grand i10,Petrol,Manual,1,2017,50000,500000
306,Mahindra,Mahindra Bolero Power,Diesel,Manual,1,2015,200000,430000
307,Hyundai,Hyundai Grand i10,Petrol,Manual,1,2013,44000,345000
308,Maruti,Maruti Baleno Sigma,Petrol,Manual,1,2015,10000,500000
309,Tata,Tata Tiago 1.2,Petrol,Manual,1,2019,19600,425000
310,Maruti,Maruti Wagon R,Petrol,Manual,2,2005,40000,80000
311,Chevrolet,Chevrolet Beat Diesel,Diesel,Manual,1,2011,50000,106000
312,Maruti,Maruti A-Star Vxi,Petrol,Manual,1,2009,46730,180000
313,Datsun,Datsun GO A,Petrol,Manual,2,2015,40000,250000
314,Skoda,Skoda Yeti Ambition,Diesel,Manual,1,2011,80000,350000
315,Maruti,Maruti Zen LXi,Petrol,Manual,2,2002,80000,60000
316,Hyundai,Hyundai Verna CRDi,Diesel,Manual,1,2018,24000,900000
317,Ford,Ford Aspire Titanium,Diesel,Manual,1,2017,21170,700000
318,BMW,BMW 3 Series,Diesel,Automatic,1,2013,167223,2000000
319,Maruti,Maruti Ertiga SHVS,Diesel,Manual,1,2017,40000,1000000
320,BMW,BMW X1 sDrive,Diesel,Automatic,1,2011,60000,1375000
321,Toyota,Toyota Innova Crysta,Diesel,Manual,1,2016,141440,1800000
322,Chevrolet,Chevrolet Tavera Neo,Diesel,Manual,3,2007,120000,160000
323,Mitsubishi,Mitsubishi Outlander 2.4,Petrol,Automatic,1,2012,140000,525000
324,Mahindra,Mahindra XUV500 W8,Diesel,Manual,1,2012,212814,850000
325,Maruti,Maruti Baleno Alpha,Diesel,Manual,1,2019,30000,800000
326,Ford,Ford Figo Aspire,Diesel,Manual,1,2017,88635,700000
327,Maruti,Maruti Swift Dzire,Diesel,Manual,1,2018,25000,800000
328,Hyundai,Hyundai i20 1.2,Petrol,Manual,2,2017,20000,575000
329,Renault,Renault Duster 110PS,Diesel,Manual,2,2012,110000,350000
330,Maruti,Maruti Swift Vdi,Diesel,Manual,3,2008,120000,250000
331,Ford,Ford Endeavour Titanium,Diesel,Manual,2,2011,149674,600000
332,Mahindra,Mahindra Scorpio 2.6,Diesel,Manual,3,2007,100000,370000
333,Maruti,Maruti Baleno Vxi,Petrol,Manual,3,2006,120000,80000
334,Tata,Tata Indica DLX,Diesel,Manual,2,2003,120000,50000
335,Hyundai,Hyundai Verna CRDi,Diesel,Manual,1,2018,25000,900000
336,Maruti,Maruti Wagon R,Petrol,Manual,2,2014,35000,300000
337,Tata,Tata Indica LSI,Petrol,Manual,1,2002,40000,125000
338,Maruti,Maruti Swift Dzire,Diesel,Manual,2,2015,60000,490000
339,Toyota,Toyota Etios Liva,Diesel,Manual,2,2012,50000,300000
340,Tata,Tata Nano STD,Petrol,Manual,4,2013,25000,55000
341,Hyundai,Hyundai Grand i10,Petrol,Manual,1,2016,25000,350000
342,Hyundai,Hyundai Grand i10,Diesel,Manual,1,2019,8000,755000
343,Maruti,Maruti Ertiga SHVS,Diesel,Manual,1,2017,60000,720000
344,Mahindra,Mahindra Bolero SLX,Diesel,Manual,3,2006,200000,229999
345,Mahindra,Mahindra Scorpio S7,Diesel,Manual,1,2018,20000,1100000
346,Volkswagen,Volkswagen Polo Petrol,Petrol,Manual,1,2013,100000,400000
347,Hyundai,Hyundai Xcent 1.1,Diesel,Manual,2,2015,70000,350000
348,Chevrolet,Chevrolet Beat Diesel,Diesel,Manual,1,2012,68000,159000
349,Maruti,Maruti Swift ZXi,Petrol,Manual,1,2017,38000,550000
350,Maruti,Maruti Ritz VDi,Diesel,Manual,1,2013,80000,335000
351,Tata,Tata Indigo CS,CNG,Manual,1,2014,72000,185000
352,Maruti,Maruti Eeco 5,CNG,Manual,1,2012,75000,229999
353,Maruti,Maruti Estilo LXI,Petrol,Manual,1,2014,43000,225000
